id,name,description,category,muscle_group,secondary_muscles,equipment,difficulty,instructions,tips,video_url,image_url,calories_per_minute,is_verified,created_at,sport_type,duration_seconds,is_timed,name_tr,description_tr,muscle_group_tr,instructions_tr,tips_tr
00319e5d-1c9c-44fa-8f4e-de272f7d8093,V-Bar Pulldown,strength exercise targeting lats,back,lats,"[""biceps"",""middle back"",""shoulders""]",cable,intermediate,"[""Sit down on a pull-down machine with a V-Bar attached to the top pulley."",""Adjust the knee pad of the machine to fit your height. These pads will prevent your body from being raised by the resistance attached to the bar."",""Grab the V-bar with the palms facing each other (a neutral grip). Stick your chest out and lean yourself back slightly (around 30-degrees) in order to better engage the lats. This will be your starting position."",""Using your lats, pull the bar down as you squeeze your shoulder blades. Continue until your chest nearly touches the V-bar. Exhale as you execute this motion. Tip: Keep the torso stationary throughout the movement."",""After a second hold on the contracted position, slowly bring the bar back to the starting position as you breathe in."",""Repeat for the prescribed number of repetitions.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/V-Bar_Pulldown/0.jpg,6,true,2026-02-05 11:44:35.585362+00,,,false,,Sırt kaslarını hedefleyen kuvvet egzersizi,latlar,"{""Üst makaraya V-bar takılı bir çekme makinesine oturun."" Makinenin dizliklerini boyunuza göre ayarlayın. Bu pedler, bara bağlı direnç nedeniyle vücudunuzun yukarı kalkmasını önleyecektir."" Avuç içleriniz birbirine bakacak şekilde (nötr tutuş) V-barı kavrayın. Sırt kaslarınızı daha iyi çalıştırmak için göğsünüzü öne çıkarın ve kendinizi hafifçe (yaklaşık 30 derece) geriye yaslayın. Bu sizin başlangıç ​​pozisyonunuz olacaktır."" Sırt kaslarınızı kullanarak, kürek kemiklerinizi sıkıştırırken barı aşağı çekin. Göğsünüz V-bara neredeyse değene kadar devam edin. Bu hareketi yaparken nefes verin. İpucu: Hareket boyunca gövdenizi sabit tutun."" Kasılmış pozisyonda bir saniye bekledikten sonra, nefes alırken barı yavaşça başlangıç ​​pozisyonuna geri getirin."" Belirtilen tekrar sayısına kadar tekrarlayın.""}",{}
010d3d56-fecc-4e25-bc57-fed95a096e10,Decline Push-Up,strength exercise targeting chest,chest,chest,"[""shoulders"",""triceps""]",bodyweight,beginner,"[""Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Move your feet up to a box or bench. This will be your starting position."",""Next, lower yourself downward until your chest almost touches the floor as you inhale."",""Now breathe out and press your upper body back up to the starting position while squeezing your chest."",""After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Decline_Push-Up/0.jpg,6,true,2026-02-05 11:44:34.799734+00,,,false,,göğüs kaslarını hedefleyen kuvvet egzersizi,göğüs,"{""Yere yüzüstü uzanın ve gövdenizi kollarınızı uzatarak yukarıda tutarken ellerinizi yaklaşık 90 cm aralıkla yerleştirin. Ayaklarınızı bir kutuya veya banka koyun. Bu başlangıç ​​pozisyonunuz olacak."" ""Ardından, nefes alırken göğsünüz neredeyse yere değene kadar kendinizi aşağı indirin."" ""Şimdi nefes verin ve göğsünüzü sıkarak üst vücudunuzu tekrar başlangıç ​​pozisyonuna doğru itin."" ""En üst kasılma pozisyonunda kısa bir süre bekledikten sonra, gerektiği kadar tekrar için kendinizi tekrar aşağı indirmeye başlayabilirsiniz.""}",{}
0118e449-5419-4ebc-8a17-6f5c7a2129b5,Clean Deadlift,olympic weightlifting exercise targeting hamstrings,legs,hamstrings,"[""forearms"",""glutes"",""lower back"",""middle back"",""quadriceps"",""traps""]",barbell,beginner,"[""Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible."",""Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path."",""After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clean_Deadlift/0.jpg,8,true,2026-02-05 11:44:34.623668+00,,,false,,Diz arkası kaslarını hedefleyen olimpik halter egzersizi,hamstringler,"{""Hamberi dizlerinize yakın tutarak ayakta durun. Ayaklarınız kalçalarınızın hemen altında ve hafifçe dışa dönük olmalıdır. Barı omuz genişliğinde çift üstten kavrama veya kanca kavrama ile tutun. Bara doğru çömelin. Omurganız tamamen düz olmalı, sırt açınız omuzlarınızın barın önünde ve sırtınızın mümkün olduğunca dik olmasını sağlamalıdır."" ""Topuklarınızın ön kısmından yere doğru iterek başlayın. Bar yukarı doğru hareket ederken, sırt açınızı sabit tutun. Dizlerinizi barın yolundan uzak tutmak için yana doğru açın."" ""Bar dizlerinizi geçtikten sonra, kalçalarınız ve dizleriniz düzleşene kadar kalçalarınızı bara doğru iterek kaldırmayı tamamlayın.""}",{}
01841a65-33bc-4a26-86d4-df7a16fcf4e7,Flat Bench Leg Pull-In,strength exercise targeting abdominals,core,abdominals,[],body only,beginner,"[""Lie on an exercise mat or a flat bench with your legs off the end."",""Place your hands either under your glutes with your palms down or by the sides holding on to the bench (or with palms down by the side on an exercise mat). Also extend your legs straight out. This will be your starting position."",""Bend your knees and pull your upper thighs into your midsection as you breathe out. Continue this movement until your knees are near your chest. Hold the contracted position for a second."",""As you breathe in, slowly return to the starting position."",""Repeat for the recommended amount of repetitions.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Flat_Bench_Leg_Pull-In/0.jpg,6,true,2026-02-05 11:44:34.799734+00,,,false,,Karın kaslarını hedefleyen güçlendirme egzersizi,karın kasları,"{""Bacaklarınız sehpanın ucundan sarkacak şekilde bir egzersiz matına veya düz bir banka uzanın."" ""Ellerinizi avuç içleriniz aşağı bakacak şekilde kalçalarınızın altına veya sehpaya tutunarak yanlara yerleştirin (ya da egzersiz matında avuç içleriniz aşağı bakacak şekilde yanlara yerleştirin). Ayrıca bacaklarınızı düz bir şekilde uzatın. Bu başlangıç ​​pozisyonunuz olacak."" ""Nefes verirken dizlerinizi bükün ve üst uyluklarınızı karın bölgenize doğru çekin. Dizleriniz göğsünüze yaklaşana kadar bu hareketi sürdürün. Kasılmış pozisyonda bir saniye bekleyin."" ""Nefes alırken yavaşça başlangıç ​​pozisyonuna dönün."" ""Önerilen tekrar sayısına kadar tekrarlayın.""}",{}
019fb007-017d-425d-a372-ba87fcdae8fd,Janda Sit-Up,strength exercise targeting abdominals,core,abdominals,[],body only,beginner,"[""Position your body on the floor in the basic sit-up position; knees to a ninety degree angle with feet flat on the floor and arms either crossed over your chest or to the sides. This will be your starting position."",""As you strongly tighten your glutes and hamstrings, fill your lungs with air and in a slow (three to six second count) ascent, slowly exhale. Tip: It is important to tighten the glutes and hamstrings as this will cause the hip flexors to be inactivated in a process called reciprocal inhibition, which basically means that opposite muscles to the contracted ones will relax."",""As you inhale, slowly go back in a controlled manner to the starting position."",""Repeat for the recommended amount of repetitions.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Janda_Sit-Up/0.jpg,6,true,2026-02-05 11:44:34.93713+00,,,false,,Karın kaslarını hedefleyen güçlendirme egzersizi,karın kasları,"{""Vücudunuzu temel mekik pozisyonunda yere yerleştirin; dizleriniz doksan derecelik bir açıda, ayaklarınız yere düz basacak şekilde ve kollarınız göğsünüzün üzerinde çapraz veya yanlarda olacak şekilde. Bu sizin başlangıç ​​pozisyonunuz olacak."" Kalça ve arka bacak kaslarınızı sıkıca kasarken, ciğerlerinizi havayla doldurun ve yavaşça (üç ila altı saniye sayarak) yukarı doğru yükselerek yavaşça nefes verin. İpucu: Kalça ve arka bacak kaslarını sıkmak önemlidir, çünkü bu, karşılıklı inhibisyon adı verilen bir süreçte kalça fleksörlerinin devre dışı kalmasına neden olur; bu da temelde kasılan kasların karşısındaki kasların gevşemesi anlamına gelir."" Nefes alırken, kontrollü bir şekilde yavaşça başlangıç ​​pozisyonuna geri dönün."" Önerilen tekrar sayısı kadar tekrarlayın.}",{}
01a4c68f-88cf-4bf0-b767-8d4168200af6,One-Arm Kettlebell Military Press To The Side,strength exercise targeting shoulders,shoulders,shoulders,"[""triceps""]",kettlebells,intermediate,"[""Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces inward. This will be your starting position."",""Look at the kettlebell and press it up and out until it is locked out overhead."",""Lower the kettlebell back to your shoulder under control and repeat. Make sure to contract your lat, butt, and stomach forcefully for added stability and strength.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/One-Arm_Kettlebell_Military_Press_To_The_Side/0.jpg,6,true,2026-02-05 11:44:35.066242+00,,,false,,Omuzları hedefleyen kuvvet egzersizi,omuzlar,"{""Kettlebell'i omzunuza kaldırın. Kettlebell'i omzunuza doğru çekerken bacaklarınızı ve kalçalarınızı uzatarak kaldırın. Bunu yaparken bileğinizi döndürün, böylece avuç içi içe baksın. Bu sizin başlangıç ​​pozisyonunuz olacak.""Kettlebell'e bakın ve başınızın üzerinde kilitlenene kadar yukarı ve dışarı doğru itin.""Kettlebell'i kontrollü bir şekilde omzunuza indirin ve tekrarlayın. Ekstra denge ve güç için sırt, kalça ve karın kaslarınızı güçlü bir şekilde kasın.}",{}
01b9dce5-7190-4250-90f0-74baca219527,Oblique Crunches - On The Floor,strength exercise targeting abdominals,core,abdominals,[],body only,beginner,"[""Start out by lying on your right side with your legs lying on top of each other. Make sure your knees are bent a little bit."",""Place your left hand behind your head."",""Once you are in this set position, begin by moving your left elbow up as you would perform a normal crunch except this time the main emphasis is on your obliques."",""Crunch as high as you can, hold the contraction for a second and then slowly drop back down into the starting position."",""Remember to breathe in during the eccentric (lowering) part of the exercise and to breathe out during the concentric (elevation) part of the exercise.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Oblique_Crunches_-_On_The_Floor/0.jpg,6,true,2026-02-05 11:44:35.066242+00,,,false,,Karın kaslarını hedefleyen güçlendirme egzersizi,karın kasları,"{""Sağ tarafınıza yatın, bacaklarınız üst üste gelsin. Dizlerinizin biraz bükülü olduğundan emin olun."" Sol elinizi başınızın arkasına koyun."" Bu pozisyona geçtikten sonra, normal bir mekik hareketi yapar gibi sol dirseğinizi yukarı doğru hareket ettirin, ancak bu sefer asıl vurgu oblik kaslarınızda olsun."" Mümkün olduğunca yukarı doğru mekik çekin, kasılmayı bir saniye tutun ve ardından yavaşça başlangıç ​​pozisyonuna geri dönün."" Egzersizin eksantrik (indirme) kısmında nefes almayı ve konsantrik (yükselme) kısmında nefes vermeyi unutmayın.""}",{}
01c1fc79-28ca-48f6-bef5-6aa327b9c3f2,Single Leg Butt Kick,plyometrics exercise targeting quadriceps,legs,quadriceps,"[""calves"",""hamstrings""]",body only,beginner,"[""Begin by standing on one leg, with the bent knee raised. This will be your start position."",""Using a countermovement jump, take off upward by extending the hip, knee, and ankle of the grounded leg."",""Immediately flex the knee and attempt to touch your butt with the heel of your jumping leg."",""Return the leg to a partially bent position underneath the hips and land. Your opposite leg should stay in relatively the same position throughout the drill.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Butt_Kick/0.jpg,12,true,2026-02-05 11:44:35.324692+00,,,false,,kuadriseps kaslarını hedefleyen pliometrik egzersiz,kuadriseps,"{""Bir bacağınız üzerinde durarak başlayın, bükülmüş diziniz yukarıda olsun. Bu sizin başlangıç ​​pozisyonunuz olacak.""Karşı hareketli bir sıçrama kullanarak, yere basan bacağınızın kalçasını, dizini ve ayak bileğini uzatarak yukarı doğru sıçrayın.""Hemen dizinizi bükün ve sıçrayan bacağınızın topuğuyla kalçanıza dokunmaya çalışın.""Bacağınızı kalçalarınızın altına doğru kısmen bükülmüş bir pozisyona getirin ve yere inin. Karşı bacağınız, egzersiz boyunca nispeten aynı pozisyonda kalmalıdır.""}",{}
01e8111b-b7f2-4938-b97d-737db3ff62d5,Dynamic Chest Stretch,stretching exercise targeting chest,chest,chest,"[""middle back""]",bodyweight,beginner,"[""Stand with your hands together, arms extended directly in front of you. This will be your starting position."",""Keeping your arms straight, quickly move your arms back as far as possible and back in again, similar to an exaggerated clapping motion. Repeat 5-10 times, increasing speed as you do so.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dynamic_Chest_Stretch/0.jpg,6,true,2026-02-05 11:44:34.799734+00,,,false,,Göğüs bölgesini hedefleyen germe egzersizi,göğüs,"{""Ellerinizi birleştirerek, kollarınızı doğrudan önünüze uzatın. Bu sizin başlangıç ​​pozisyonunuz olacak.""] Kollarınızı düz tutarak, abartılı bir alkış hareketine benzer şekilde, kollarınızı olabildiğince geriye ve tekrar geriye doğru hızlıca hareket ettirin. Bunu 5-10 kez tekrarlayın, yaparken hızı artırın.}",{}
0285d1dc-f252-4ffe-be81-0279b429d50f,Barbell Deadlift,strength exercise targeting lower back,back,lower back,"[""calves"",""forearms"",""glutes"",""hamstrings"",""lats"",""middle back"",""quadriceps"",""traps""]",barbell,intermediate,"[""Stand in front of a loaded barbell."",""While keeping the back as straight as possible, bend your knees, bend forward and grasp the bar using a medium (shoulder width) overhand grip. This will be the starting position of the exercise. Tip: If it is difficult to hold on to the bar with this grip, alternate your grip or use wrist straps."",""While holding the bar, start the lift by pushing with your legs while simultaneously getting your torso to the upright position as you breathe out. In the upright position, stick your chest out and contract the back by bringing the shoulder blades back. Think of how the soldiers in the military look when they are in standing in attention."",""Go back to the starting position by bending at the knees while simultaneously leaning the torso forward at the waist while keeping the back straight. When the weights on the bar touch the floor you are back at the starting position and ready to perform another repetition."",""Perform the amount of repetitions prescribed in the program.""]",[],,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Deadlift/0.jpg,6,true,2026-02-05 11:44:34.318475+00,,,false,,Bel bölgesini hedefleyen güçlendirme egzersizi,bel,"{""Ağırlık yüklü bir halterin önünde durun."" Sırtınızı olabildiğince düz tutarken, dizlerinizi bükün, öne eğilin ve orta (omuz genişliğinde) bir üstten kavrama ile halteri kavrayın. Bu, egzersizin başlangıç ​​pozisyonu olacaktır. İpucu: Bu kavrama ile halteri tutmak zorsa, kavramanızı değiştirin veya bilek kayışları kullanın."" Halteri tutarken, nefes verirken bacaklarınızla iterek ve aynı anda gövdenizi dik pozisyona getirerek kaldırmaya başlayın. Dik pozisyonda, göğsünüzü öne çıkarın ve kürek kemiklerinizi geriye çekerek sırtınızı kasın. Askeriyedeki askerlerin esas duruşta nasıl göründüklerini düşünün."" Sırtınızı düz tutarken, aynı anda belinizden öne doğru eğilerek dizlerinizi bükerek başlangıç ​​pozisyonuna geri dönün. Halterdeki ağırlıklar yere değdiğinde başlangıç ​​pozisyonundasınız ve bir tekrar daha yapmaya hazırsınız."" Programda belirtilen tekrar sayısını gerçekleştirin.""}",{}
